brand,age,mileage,engine_size,fuel_type,transmission,owners,condition,price
Volkswagen,17.4,216087,3.0,Petrol,Automatic,1,Good,3477.13
Mercedes,10.7,163226,4.0,Diesel,Automatic,1,Fair,15258.78
BMW,11.8,140505,4.0,Electric,Automatic,1,Excellent,18845.62
Toyota,5.8,93127,2.5,Diesel,Automatic,1,Good,17759.98
Volkswagen,10.8,78481,1.4,Hybrid,Automatic,3,Good,5556.66
Hyundai,4.3,81350,2.5,Petrol,Automatic,1,Poor,12649.33
BMW,17.4,287303,2.5,Petrol,Manual,2,Excellent,3298.98
Ford,14.3,270102,1.6,Diesel,Manual,2,Excellent,1905.26
Maruti,0.5,10600,1.4,Diesel,Manual,2,Excellent,17186.39
Toyota,6.8,91641,1.6,Electric,Manual,1,Good,10872.59
Audi,14.1,202878,3.0,Diesel,Manual,2,Fair,5581.37
Nissan,5.8,86810,4.0,Hybrid,Automatic,1,Excellent,28134.59
Honda,6.1,69808,1.4,Electric,Automatic,4,Good,10141.5
Audi,9.3,169982,2.2,Diesel,Automatic,1,Excellent,11528.74
Volkswagen,13.3,216764,2.0,Electric,Manual,2,Good,3811.74
Honda,15.1,146736,1.2,Electric,Manual,2,Good,2198.41
Honda,7.7,104891,4.0,Petrol,Automatic,2,Good,19575.64
Maruti,9.4,117517,1.4,Petrol,Automatic,3,Good,3952.57
Volkswagen,15.3,148993,3.5,Petrol,Automatic,1,Good,6368.26
Mercedes,16.6,333283,2.0,Hybrid,Manual,1,Good,3441.06
BMW,7.1,103553,2.5,Electric,Manual,3,Excellent,23677.47
Maruti,1.4,26036,1.2,Hybrid,Automatic,1,Excellent,14096.79
Honda,5.5,70723,4.0,Electric,Manual,1,Poor,22792.08
Toyota,0.6,8418,1.8,Electric,Automatic,1,Excellent,36892.35
Volkswagen,9.8,109461,1.6,Electric,Manual,1,Fair,6530.09
Volkswagen,0.8,8245,1.2,Hybrid,Automatic,1,Good,22661.58
Maruti,8.6,125264,2.0,Diesel,Automatic,2,Good,6791.54
Volkswagen,15.7,242894,2.0,Petrol,Manual,1,Excellent,2381.64
Ford,4.6,51623,1.4,Diesel,Manual,1,Fair,10036.72
Audi,8.6,116699,3.5,Electric,Automatic,1,Excellent,27133.47
Mercedes,10.8,156668,2.0,Hybrid,Manual,1,Fair,8525.7
Honda,11.8,129683,1.2,Hybrid,Manual,1,Fair,3051.33
Audi,9.3,101464,1.0,Electric,Manual,1,Excellent,7584.9
BMW,12.9,127078,2.5,Electric,Automatic,3,Good,10370.64
Toyota,14.3,134030,4.0,Hybrid,Automatic,1,Fair,8554.94
Maruti,15.8,285809,2.0,Electric,Automatic,4,Good,1538.81
Honda,5.9,94775,2.2,Diesel,Manual,2,Good,13209.76
Hyundai,0.8,15050,1.8,Hybrid,Manual,1,Excellent,28687.93
Honda,9.4,162240,3.0,Petrol,Automatic,3,Good,8581.68
Maruti,7.1,120145,1.4,Diesel,Automatic,1,Good,5603.45
Maruti,5.5,34554,2.5,Hybrid,Manual,1,Poor,11991.77
Audi,8.6,119942,1.8,Hybrid,Manual,2,Fair,10198.85
Audi,15.8,255891,3.0,Petrol,Automatic,1,Excellent,4854.42
Audi,16.3,236741,1.4,Diesel,Automatic,3,Poor,1500
Hyundai,4.6,70622,1.2,Petrol,Automatic,2,Excellent,9080.44
Mercedes,16.6,220773,2.5,Hybrid,Automatic,2,Fair,4128.47
Ford,10.1,141524,3.5,Electric,Manual,1,Excellent,12736.27
Volkswagen,11.7,148044,3.5,Hybrid,Manual,2,Good,10023.01
Toyota,11.3,127709,1.6,Petrol,Automatic,1,Good,5016.98
Nissan,14.3,158300,3.0,Hybrid,Manual,2,Poor,3590.15
Honda,6.5,88578,4.0,Electric,Manual,1,Good,25778.93
Ford,15.0,144021,4.0,Diesel,Manual,1,Fair,5631.99
Toyota,14.3,207870,1.0,Hybrid,Automatic,1,Fair,1546.35
BMW,5.5,83502,1.0,Petrol,Automatic,1,Good,9653.33
Hyundai,17.5,291888,2.5,Electric,Manual,2,Excellent,2008.5
Maruti,17.9,204004,1.4,Petrol,Automatic,2,Good,1500
Audi,6.7,79469,1.0,Hybrid,Automatic,2,Fair,7509.65
Toyota,1.8,23148,4.0,Diesel,Manual,1,Good,53619.75
Honda,4.6,57518,4.0,Petrol,Manual,2,Poor,23652.0
Hyundai,8.3,86114,1.2,Hybrid,Automatic,2,Excellent,6311.42
Audi,9.6,171502,3.0,Hybrid,Manual,4,Good,13235.08
Audi,4.0,59545,1.4,Hybrid,Manual,2,Poor,14364.56
Honda,10.1,145183,1.8,Diesel,Automatic,1,Excellent,6321.02
BMW,14.4,202985,1.6,Electric,Automatic,2,Good,4061.48
Mercedes,7.5,90369,2.5,Petrol,Manual,4,Good,18436.87
Audi,8.7,100344,3.0,Diesel,Manual,1,Fair,17848.11
Ford,5.8,80791,1.4,Electric,Automatic,3,Good,10232.08
Nissan,5.3,73639,4.0,Diesel,Manual,1,Good,27240.14
Maruti,1.2,25540,1.0,Electric,Manual,2,Good,11946.65
Toyota,9.2,88831,4.0,Electric,Automatic,1,Fair,18059.86
Toyota,3.3,48894,2.2,Diesel,Automatic,3,Good,22397.22
Hyundai,17.6,244651,1.4,Petrol,Automatic,1,Excellent,1500
Toyota,5.6,84703,2.2,Diesel,Automatic,3,Fair,12860.98
BMW,13.9,241209,2.5,Electric,Automatic,1,Poor,3628.12
BMW,10.7,152487,1.0,Hybrid,Automatic,1,Fair,4429.65
Volkswagen,2.8,28779,1.8,Electric,Manual,1,Good,25245.6
Honda,7.3,128702,2.5,Petrol,Manual,4,Good,9982.54
Hyundai,10.3,141512,2.0,Hybrid,Manual,1,Excellent,6129.04
Audi,3.1,59925,3.0,Electric,Manual,1,Good,53510.67
Mercedes,10.9,166207,3.0,Electric,Automatic,2,Good,14014.3
Maruti,5.9,44278,4.0,Diesel,Manual,2,Excellent,23802.32
Maruti,14.1,241739,2.2,Petrol,Manual,1,Good,1949.92
BMW,7.7,128360,3.5,Petrol,Manual,1,Good,22618.58
Audi,9.7,165408,2.0,Electric,Automatic,2,Fair,8816.37
Mercedes,11.2,105722,1.6,Electric,Manual,3,Poor,6246.42
Mercedes,12.8,168883,2.5,Electric,Automatic,1,Good,9190.54
Hyundai,17.2,338871,1.4,Petrol,Automatic,3,Good,1500
Audi,4.2,63024,3.0,Electric,Manual,1,Fair,37586.69
Nissan,4.4,70736,1.6,Hybrid,Manual,2,Excellent,13052.82
Nissan,17.6,149916,1.4,Hybrid,Automatic,2,Fair,1500
Toyota,16.4,266741,1.2,Petrol,Manual,1,Fair,1500
Toyota,18.0,257072,2.2,Electric,Manual,1,Good,2218.25
Mercedes,8.5,158819,4.0,Diesel,Automatic,1,Fair,22206.91
Hyundai,3.3,30405,2.5,Petrol,Automatic,2,Good,22812.96
Volkswagen,15.0,179693,3.0,Petrol,Manual,4,Good,4519.5
BMW,0.6,17010,2.2,Electric,Automatic,2,Good,57605.92
BMW,1.6,24039,1.2,Electric,Manual,2,Poor,18764.47
Hyundai,11.3,193975,1.6,Hybrid,Automatic,1,Good,3287.07
BMW,13.8,202873,4.0,Petrol,Automatic,1,Good,9031.31
Maruti,2.5,37205,3.0,Diesel,Manual,1,Good,26821.0
Maruti,9.1,138156,3.0,Diesel,Automatic,1,Excellent,9845.84
Audi,12.3,161059,1.8,Petrol,Manual,2,Excellent,6128.47
Toyota,16.9,257482,1.2,Electric,Automatic,1,Excellent,1500
Volkswagen,7.1,57873,2.2,Hybrid,Automatic,1,Poor,12133.04
Hyundai,2.6,31402,3.0,Diesel,Manual,2,Poor,21082.23
Audi,12.3,142422,3.0,Diesel,Manual,1,Excellent,12393.86
Honda,1.1,14187,4.0,Petrol,Manual,1,Excellent,63657.91
Toyota,8.3,112412,4.0,Petrol,Automatic,1,Good,19299.64
Ford,9.3,83058,1.8,Electric,Automatic,1,Fair,8518.24
Nissan,4.4,65248,1.8,Diesel,Automatic,2,Excellent,14248.27
Volkswagen,14.3,249579,2.0,Electric,Automatic,1,Good,3003.32
BMW,15.4,229556,1.8,Hybrid,Manual,2,Poor,2216.16
BMW,5.0,60334,2.0,Electric,Manual,1,Fair,21629.91
Toyota,5.2,68427,4.0,Petrol,Manual,2,Good,28680.76
BMW,15.7,187194,2.0,Diesel,Manual,4,Excellent,4401.76
Audi,16.5,211933,3.5,Diesel,Automatic,2,Good,5519.87
Mercedes,6.8,82355,2.5,Hybrid,Automatic,3,Good,25441.09
Volkswagen,1.3,17258,1.6,Hybrid,Automatic,1,Good,25130.32
Audi,10.1,176270,4.0,Hybrid,Automatic,1,Fair,17479.1
Hyundai,3.5,26460,3.0,Petrol,Manual,3,Excellent,26509.23
Toyota,7.7,102081,4.0,Petrol,Manual,1,Good,21794.99
Maruti,11.7,203936,3.5,Petrol,Manual,1,Good,5731.7
Nissan,17.6,247529,1.0,Hybrid,Manual,1,Excellent,1500
Ford,4.7,38725,3.5,Electric,Automatic,1,Poor,23279.06
BMW,5.7,77432,1.2,Petrol,Manual,1,Good,11304.75
Audi,1.5,18467,1.0,Hybrid,Automatic,2,Fair,19671.13
Toyota,4.5,70805,3.5,Petrol,Automatic,3,Good,28058.15
Toyota,3.6,58057,2.0,Diesel,Automatic,3,Good,17930.32
Volkswagen,12.3,149410,3.0,Diesel,Manual,1,Poor,6153.07
Toyota,2.2,30112,1.6,Hybrid,Automatic,1,Good,23533.83
Hyundai,10.2,134281,2.2,Hybrid,Manual,2,Good,6617.04
BMW,13.0,182560,1.2,Diesel,Automatic,1,Excellent,4247.89
Hyundai,13.8,196527,1.2,Hybrid,Automatic,1,Excellent,2124.11
Nissan,2.1,22350,3.5,Petrol,Automatic,1,Fair,35005.08
BMW,10.5,105960,1.4,Electric,Automatic,1,Excellent,9413.73
Ford,8.1,108655,2.2,Electric,Automatic,3,Fair,8520.21
Audi,2.4,38876,1.8,Hybrid,Automatic,1,Good,33966.7
Maruti,2.9,25254,2.0,Hybrid,Automatic,1,Good,18429.76
Audi,17.4,318895,1.6,Hybrid,Automatic,1,Good,2286.03
Maruti,18.0,217859,1.4,Hybrid,Manual,1,Good,1500
Volkswagen,12.3,105841,1.4,Diesel,Automatic,2,Excellent,4661.86
Maruti,8.9,63038,2.2,Hybrid,Manual,2,Good,8730.05
Honda,2.4,25578,1.6,Petrol,Automatic,4,Good,16847.78
Volkswagen,2.4,39096,1.2,Diesel,Automatic,1,Good,15430.15
Ford,6.5,59855,1.0,Petrol,Manual,3,Fair,4850.37
Hyundai,6.0,82739,2.5,Electric,Automatic,1,Fair,14643.49
Toyota,14.7,215178,1.2,Petrol,Manual,3,Fair,1500
Nissan,3.6,49456,1.4,Hybrid,Manual,2,Good,12536.33
Volkswagen,1.0,22099,3.5,Hybrid,Automatic,1,Excellent,62877.34
Mercedes,13.7,122463,1.2,Diesel,Automatic,1,Good,4705.45
Nissan,17.4,341661,2.0,Petrol,Automatic,1,Good,1500
Ford,14.7,253914,1.8,Diesel,Automatic,1,Good,2125.68
Nissan,7.3,136126,3.5,Diesel,Automatic,2,Good,15432.77
Ford,10.2,141164,2.5,Hybrid,Manual,3,Poor,5035.98
Volkswagen,17.4,243986,3.0,Hybrid,Automatic,2,Good,2818.26
Ford,1.9,24360,1.0,Petrol,Automatic,1,Good,12275.52
Audi,10.1,99453,1.2,Electric,Manual,2,Good,7073.14
BMW,17.8,235109,1.2,Diesel,Automatic,3,Excellent,1584.63
Honda,8.2,164208,1.2,Electric,Automatic,1,Excellent,5616.05
BMW,14.7,153991,1.0,Diesel,Automatic,4,Good,2269.12
Nissan,17.7,191052,4.0,Hybrid,Manual,4,Fair,3007.35
Ford,12.8,187205,1.4,Diesel,Automatic,1,Good,2661.61
Audi,1.8,23926,1.2,Electric,Automatic,4,Good,24826.76
Toyota,15.7,208067,1.2,Electric,Manual,2,Good,1803.16
Audi,5.2,63567,1.8,Hybrid,Automatic,3,Fair,19291.11
Toyota,2.2,47094,2.5,Diesel,Automatic,1,Poor,19391.84
Ford,15.9,297889,1.8,Electric,Manual,2,Good,1980.78
Hyundai,12.1,192194,4.0,Electric,Manual,1,Excellent,8949.66
Honda,2.8,37091,1.6,Petrol,Automatic,2,Poor,12639.16
Volkswagen,12.6,212048,2.5,Petrol,Manual,1,Fair,4332.5
Ford,11.7,213536,4.0,Petrol,Manual,1,Fair,6462.64
Ford,16.6,184939,3.5,Petrol,Manual,1,Excellent,4217.27
Volkswagen,6.0,67478,1.4,Diesel,Automatic,2,Good,11456.28
Mercedes,4.1,36522,3.5,Electric,Manual,2,Fair,51175.43
BMW,9.2,165445,3.5,Petrol,Automatic,3,Excellent,18876.23
Maruti,7.9,86419,3.0,Petrol,Manual,2,Excellent,12193.6
Volkswagen,9.4,191932,4.0,Hybrid,Automatic,1,Good,12725.81
Maruti,3.2,46141,1.2,Diesel,Manual,1,Good,8792.53
Honda,5.9,56299,2.2,Petrol,Manual,1,Good,14092.02
Audi,11.2,144340,1.0,Diesel,Manual,1,Excellent,4769.09
Hyundai,9.7,139527,1.8,Electric,Manual,2,Excellent,6425.57
Volkswagen,5.3,84228,1.2,Petrol,Automatic,1,Good,8949.96
Hyundai,3.3,52126,1.2,Petrol,Manual,2,Excellent,10002.18
Toyota,4.8,54423,2.5,Diesel,Manual,2,Fair,18010.64
Hyundai,4.8,51942,2.0,Electric,Manual,1,Fair,14540.94
Ford,4.4,92696,3.0,Petrol,Automatic,3,Fair,17706.82
Audi,0.6,6846,1.6,Diesel,Automatic,1,Poor,30319.07
BMW,13.3,184427,3.0,Petrol,Automatic,1,Good,8312.28
Toyota,17.1,180189,1.0,Electric,Manual,1,Poor,1500
Volkswagen,9.1,141830,1.0,Electric,Manual,1,Excellent,4982.74
Hyundai,8.5,92089,1.2,Hybrid,Manual,2,Excellent,5216.03
Ford,4.6,73864,1.8,Hybrid,Automatic,1,Good,15245.66
Maruti,2.4,38661,1.2,Hybrid,Manual,1,Poor,8346.19
BMW,8.4,118916,2.5,Diesel,Automatic,2,Good,18492.52
Hyundai,3.1,52756,1.6,Petrol,Automatic,1,Poor,10418.71
Toyota,17.2,177393,2.5,Petrol,Automatic,1,Fair,2853.53
BMW,2.8,36371,2.2,Petrol,Automatic,3,Excellent,39857.4
Honda,4.0,51006,4.0,Electric,Manual,1,Good,42910.81
Volkswagen,9.2,158914,2.2,Diesel,Manual,1,Good,7921.23
Ford,1.1,7025,3.5,Hybrid,Automatic,3,Good,50590.03
Volkswagen,4.0,62261,3.0,Petrol,Automatic,2,Good,33308.12
Nissan,14.2,238662,2.0,Hybrid,Automatic,1,Good,2531.2
Mercedes,1.5,22001,2.5,Diesel,Manual,1,Good,54017.06
Mercedes,9.8,131395,1.0,Hybrid,Automatic,3,Poor,4313.54
Hyundai,14.6,233979,2.0,Electric,Manual,2,Excellent,2456.54
Audi,10.0,127105,1.4,Diesel,Manual,1,Good,6956.27
Ford,6.5,122853,1.4,Electric,Manual,1,Good,7455.29
Ford,14.1,256547,3.0,Electric,Automatic,2,Good,3718.76
Volkswagen,14.4,305608,2.5,Electric,Manual,2,Fair,3028.99
Volkswagen,5.9,108314,1.8,Hybrid,Manual,1,Good,12882.33
Maruti,2.3,28599,2.5,Diesel,Automatic,4,Excellent,24501.48
Honda,14.9,140735,4.0,Hybrid,Manual,1,Excellent,8765.92
Honda,13.1,189784,1.0,Diesel,Automatic,1,Good,2100.7
Nissan,7.1,99767,2.5,Diesel,Manual,1,Fair,10813.9
Mercedes,17.2,237260,1.2,Diesel,Manual,1,Fair,1649.75
Honda,6.4,108229,3.5,Hybrid,Manual,2,Good,21427.2
BMW,7.7,113225,3.0,Electric,Automatic,1,Excellent,26066.9
Volkswagen,10.5,167858,2.5,Hybrid,Manual,1,Good,7784.74
Toyota,4.1,52028,4.0,Petrol,Automatic,2,Good,37759.83
Mercedes,2.1,27912,3.0,Hybrid,Automatic,1,Excellent,69776.83
Mercedes,10.4,154722,1.4,Petrol,Automatic,2,Good,6268.88
Maruti,4.5,68693,1.0,Hybrid,Automatic,2,Excellent,7109.2
Toyota,9.3,159199,3.0,Diesel,Manual,3,Good,8901.45
Ford,17.5,287401,1.6,Hybrid,Manual,4,Good,1500
Honda,2.0,20447,3.0,Electric,Automatic,3,Excellent,46614.37
Maruti,10.8,167075,2.2,Petrol,Manual,2,Excellent,4515.53
Hyundai,15.9,275891,1.8,Hybrid,Manual,1,Good,1725.66
Maruti,11.2,227783,2.2,Electric,Manual,1,Good,3559.31
Hyundai,14.8,246173,1.8,Petrol,Manual,1,Poor,1500
Audi,14.0,195844,2.0,Petrol,Manual,1,Fair,3872.8
Nissan,15.7,246731,1.0,Electric,Automatic,1,Fair,1500
Maruti,1.0,13057,1.6,Petrol,Manual,1,Excellent,18282.52
Hyundai,14.9,222474,3.0,Petrol,Manual,1,Good,3426.61
Ford,17.3,198636,2.5,Diesel,Automatic,2,Good,2504.12
Ford,15.4,264669,1.6,Diesel,Automatic,2,Good,1525.72
Toyota,8.8,96267,1.4,Petrol,Manual,1,Fair,5316.3
Mercedes,7.9,172092,2.2,Diesel,Automatic,1,Good,13681.81
Maruti,7.5,192759,1.2,Electric,Automatic,1,Excellent,4769.08
Hyundai,15.6,266073,1.8,Electric,Manual,1,Fair,1500
Toyota,14.6,175219,3.5,Diesel,Manual,2,Poor,4139.81
Volkswagen,13.4,227694,3.5,Diesel,Automatic,2,Excellent,5765.83
Nissan,11.7,203283,2.5,Electric,Manual,3,Fair,4189.23
Ford,13.5,205921,3.0,Electric,Manual,1,Excellent,5300.41
Mercedes,7.9,93614,2.0,Hybrid,Manual,1,Fair,13649.58
Honda,8.8,81341,1.6,Hybrid,Automatic,1,Fair,7474.94
Ford,2.9,38804,1.6,Hybrid,Manual,1,Fair,14989.38
Ford,6.0,67523,1.0,Diesel,Manual,1,Fair,5617.39
Honda,2.8,29713,2.2,Hybrid,Automatic,1,Good,27477.06
Hyundai,13.7,94657,3.0,Diesel,Manual,2,Good,6740.78
Ford,2.3,27061,3.0,Petrol,Automatic,3,Good,29753.89
Volkswagen,16.0,210641,1.4,Electric,Manual,1,Fair,1929.01
Volkswagen,0.8,8393,1.6,Petrol,Manual,1,Fair,22826.97
Mercedes,14.0,172117,3.5,Petrol,Manual,1,Excellent,11363.61
Audi,7.2,107999,3.0,Diesel,Manual,1,Good,22623.59
Maruti,12.8,154369,2.2,Petrol,Automatic,1,Excellent,4108.07
BMW,11.2,189354,1.8,Electric,Automatic,1,Excellent,7921.91
Audi,6.3,90647,1.0,Petrol,Automatic,1,Excellent,10119.36
Nissan,1.8,27566,1.2,Hybrid,Automatic,1,Excellent,17075.27
Mercedes,6.8,53751,4.0,Petrol,Manual,1,Excellent,48023.31
Ford,6.3,101447,2.5,Petrol,Automatic,2,Excellent,13200.84
Mercedes,15.1,281352,2.5,Diesel,Manual,1,Fair,3722.03
Ford,2.3,24006,3.5,Hybrid,Manual,2,Fair,32193.31
Ford,9.0,95263,2.5,Petrol,Manual,1,Good,10227.83
Nissan,13.9,186215,3.5,Electric,Manual,1,Fair,4883.92
Volkswagen,3.1,50319,3.0,Petrol,Manual,1,Good,31135.84
Audi,15.7,215775,1.2,Electric,Automatic,1,Excellent,2602.34
BMW,1.9,23786,2.5,Hybrid,Automatic,1,Poor,36872.17
Toyota,2.3,42097,2.2,Petrol,Automatic,3,Good,24133.2
Hyundai,6.9,81653,1.0,Electric,Automatic,2,Good,5343.45
Audi,2.5,40707,4.0,Electric,Automatic,2,Excellent,82900.73
Volkswagen,2.4,37844,3.5,Hybrid,Manual,1,Fair,41616.91
Hyundai,2.4,45405,2.2,Petrol,Automatic,1,Good,19444.85
Toyota,9.8,130172,1.0,Hybrid,Manual,2,Excellent,3915.2
Ford,2.3,14559,4.0,Hybrid,Automatic,4,Fair,39794.73
Hyundai,17.5,204070,2.5,Electric,Automatic,2,Poor,1772.72
BMW,4.0,44516,3.5,Diesel,Manual,1,Good,49414.55
Hyundai,10.3,151249,3.5,Hybrid,Automatic,3,Good,9285.58
Toyota,9.6,128555,1.0,Petrol,Manual,1,Fair,3470.36
Ford,15.2,207435,1.8,Electric,Automatic,1,Fair,2432.48
Nissan,15.6,185067,4.0,Electric,Manual,3,Good,5841.1
Hyundai,17.4,209120,1.0,Hybrid,Manual,3,Fair,1500
Hyundai,13.7,186530,3.0,Diesel,Automatic,1,Poor,3901.9
Nissan,2.6,39669,1.0,Diesel,Manual,2,Good,9890.06
Hyundai,8.7,182746,1.4,Petrol,Automatic,1,Good,3861.36
Hyundai,9.7,166733,1.4,Diesel,Automatic,1,Good,3962.37
Hyundai,4.4,51632,1.6,Electric,Manual,4,Good,11217.43
